clas_local,clas_visitante,G_esp_local,Goles_local,G_esp_visitante,Goles_visitante,Disparos_puerta_intento_local,Disparos_puerta_buenos_local,Disparos_puerta_%_local,Disparos_puerta_intento_visitante,Disparos_puerta_buenos_visitante,Disparos_puerta_%_visitante,Paradas_local,Paradas_%_local,Paradas_visitante,Paradas_%_visitante,Saques_esquina_local,Saques_esquina_visitante,Pases_cruzados_local,Pases_cruzados_visitante,%_Saques_esquina_local_favor,%_Saques_esquina_visitante_favor,%_Saques_esquina_local_contra,%_Saques_esquina_visitante_contra,goles_marcados_local,goles_marcados_visitante,goles_recibidos_local,goles_recibidos_visitante,goles_esperados_local,goles_esperados_visitante,goles_esperados_contra_local,goles_esperados_contra_visitante,%_disparos_puerta_hechos_local,%_disparos_puerta_hechos_visitante,%_disparos_puerta_recibidos_local,%_disparos_puerta_recibidos_visitante,%_pases_cruzados_hechos_local,%_pases_cruzados_hechos_visitante,%_pases_cruzados_recibidos_local,%_pases_cruzados_recibidos_visitante
2,3,0.8,0,1.4,2,13,1,0.08,8,3,0.38,1,0.33,1,1.0,9,2,35,8,5.625,4.625,3.8125,5.0625,1.1875,0.9375,1.5625,1.4375,1.4375,0.9,1.1625,1.5999999999999999,4.125,2.9375,3.9375,4.0625,21.5625,17.625,14.6875,20.6875
3,2,2.0,1,0.5,1,18,2,0.11,6,3,0.5,2,0.66,1,0.5,12,2,40,5,6.647058823529412,3.8823529411764706,3.235294117647059,6.176470588235294,1.3529411764705883,0.7058823529411765,1.3529411764705883,2.1176470588235294,1.4000000000000001,0.776470588235294,1.288235294117647,2.0470588235294116,4.529411764705882,2.6470588235294117,3.7058823529411766,6.705882352941177,28.941176470588236,14.294117647058824,13.588235294117647,20.88235294117647
3,2,2.7,2,1.0,0,14,1,0.07,9,2,0.22,2,1.0,1,1.0,2,2,22,9,5.1875,2.5625,3.625,5.625,1.0625,0.625,1.1875,1.625,1.375,0.9375,1.03125,1.75625,4.0,2.25,3.75,4.75,24.875,12.25,12.5625,26.3125
3,4,0.6,1,2.1,2,13,7,0.54,6,1,0.17,1,1.0,6,0.85,5,2,21,14,3.8125,3.6470588235294117,4.3125,5.882352941176471,1.0625,1.0588235294117647,0.75,1.2941176470588236,1.1,1.211764705882353,0.89375,1.5058823529411764,3.3125,3.0,2.5625,4.588235294117647,18.375,13.0,18.25,20.41176470588235
3,5,1.4,1,3.7,4,14,1,0.07,14,5,0.36,2,0.4,1,1.0,2,2,23,7,5.0625,5.647058823529412,3.8125,4.9411764705882355,1.375,1.7058823529411764,1.0625,1.0588235294117647,1.225,1.7941176470588236,0.93125,1.2,4.5,4.9411764705882355,2.5625,3.823529411764706,20.1875,14.470588235294118,14.25,17.235294117647058
4,2,1.0,1,0.7,0,12,2,0.17,10,0,0.0,0,1.0,1,0.5,6,3,17,28,7.823529411764706,5.1875,2.4705882352941178,5.8125,1.1764705882352942,0.75,0.7647058823529411,1.4375,1.3882352941176472,1.20625,0.788235294117647,1.40625,4.176470588235294,2.9375,1.9411764705882353,4.75,27.823529411764707,23.0,13.823529411764707,17.25
5,4,1.6,0,1.8,2,13,5,0.38,19,5,0.26,3,0.6,5,1.0,5,6,30,9,6.0588235294117645,4.9411764705882355,3.2941176470588234,5.9411764705882355,2.1176470588235294,1.1764705882352942,0.8235294117647058,1.1176470588235294,1.8058823529411765,1.1941176470588235,0.9176470588235294,1.4529411764705882,5.823529411764706,3.9411764705882355,2.0,4.235294117647059,20.058823529411764,12.823529411764707,14.647058823529411,20.58823529411765
4,5,0.8,1,2.1,4,10,5,0.5,15,7,0.47,3,0.42,4,0.8,3,6,10,8,4.0625,5.0625,4.1875,4.1875,1.3125,1.6875,0.8125,0.5625,1.4,1.6,0.79375,0.825,4.25,3.8125,3.4375,2.75,13.0,16.125,13.9375,16.5625
1,2,1.0,1,0.7,1,13,3,0.23,12,7,0.58,6,0.85,2,0.66,6,5,23,12,6.5625,3.5,4.75,5.9375,0.9375,1.0,1.6875,2.25,1.24375,0.9875,1.58125,1.9625,3.9375,4.0625,4.0625,6.25,23.875,15.0625,16.3125,22.375
3,2,1.1,3,0.6,1,12,6,0.5,7,3,0.43,2,0.66,4,0.66,5,2,16,14,4.0588235294117645,2.5,4.0,6.0,1.9411764705882353,0.75,1.2941176470588236,1.5,1.5176470588235293,0.70625,1.1764705882352942,1.36875,5.294117647058823,2.75,3.5294117647058822,4.5625,20.352941176470587,15.0625,18.235294117647058,24.3125
3,3,1.0,0,1.0,1,11,3,0.27,11,6,0.55,5,0.83,3,1.0,2,4,18,13,4.0588235294117645,4.647058823529412,4.0,4.823529411764706,1.9411764705882353,0.9411764705882353,1.2941176470588236,1.7058823529411764,1.5176470588235293,1.1823529411764706,1.1764705882352942,1.5705882352941176,5.294117647058823,3.4705882352941178,3.5294117647058822,4.176470588235294,20.352941176470587,17.0,18.235294117647058,19.176470588235293
4,3,0.5,1,1.3,0,7,1,0.14,12,2,0.17,2,1.0,0,0.0,2,4,9,25,4.375,3.1176470588235294,5.1875,6.823529411764706,1.375,0.7058823529411765,0.9375,0.9411764705882353,1.51875,0.7352941176470589,1.11875,1.2529411764705882,4.3125,2.823529411764706,3.0625,3.588235294117647,14.25,17.58823529411765,18.75,22.764705882352942
1,4,0.7,0,1.8,1,12,5,0.42,8,4,0.5,3,0.75,5,1.0,4,6,13,12,6.5625,4.235294117647059,4.75,3.823529411764706,0.9375,1.2941176470588236,1.6875,0.9411764705882353,1.24375,1.2588235294117647,1.58125,1.0823529411764705,3.9375,4.764705882352941,4.0625,3.235294117647059,23.875,14.058823529411764,16.3125,16.941176470588236
