clas_local,clas_visitante,G_esp_local,Goles_local,G_esp_visitante,Goles_visitante,quiniela,Posesión_local,Posesión_visitante,Pases_intento_local,Pases_buenos_local,Pases_%_local,Pases_intento_visitante,Pases_buenos_visitante,Pases_%_visitante,Disparos_puerta_intento_local,Disparos_puerta_buenos_local,Disparos_puerta_%_local,Disparos_puerta_intento_visitante,Disparos_puerta_buenos_visitante,Disparos_puerta_%_visitante,Paradas_local,Paradas_%_local,Paradas_visitante,Paradas_%_visitante,expulsion_doble_amarilla_local,expulsión_roja_directa_local,expulsion_doble_amarilla_visitante,expulsión_roja_directa_visitante,Saques_esquina_local,Saques_esquina_visitante,Pases_cruzados_local,Pases_cruzados_visitante,Intercepciones_local,Intercepciones_visitante,Despejes_local,Despejes_visitante,Saque_puerta_local,Saque_puerta_visitante,%_Saques_esquina_local_favor,%_Saques_esquina_visitante_favor,%_Saques_esquina_local_contra,%_Saques_esquina_visitante_contra,goles_marcados_local,goles_marcados_visitante,goles_recibidos_local,goles_recibidos_visitante,goles_esperados_local,goles_esperados_visitante,goles_esperados_contra_local,goles_esperados_contra_visitante,posesion_media_local,posesion_media_visitante,%_disparos_puerta_hechos_local,%_disparos_puerta_hechos_visitante,%_disparos_puerta_recibidos_local,%_disparos_puerta_recibidos_visitante,%_pases_cruzados_hechos_local,%_pases_cruzados_hechos_visitante,%_pases_cruzados_recibidos_local,%_pases_cruzados_recibidos_visitante
3,1,1.3,2,0.7,0,1,0.49,0.51,454,355,0.78,482,400,0.83,14,4,0.29,13,5,0.38,5,1.0,2,0.5,0,0,0,1,3,4,19,25,3,12,21,17,7,9,4.0588235294117645,4.176470588235294,4.0,6.411764705882353,1.9411764705882353,0.5882352941176471,1.2941176470588236,2.176470588235294,1.5176470588235293,0.6941176470588236,1.1764705882352942,2.0823529411764703,0.5076470588235293,0.4076470588235294,5.294117647058823,2.2941176470588234,3.5294117647058822,6.529411764705882,20.352941176470587,14.647058823529411,18.235294117647058,22.294117647058822
2,5,0.5,0,1.5,0,X,0.35,0.65,287,175,0.61,536,426,0.79,5,1,0.2,15,3,0.2,3,1.0,1,1.0,0,0,0,0,1,5,8,23,12,4,27,14,12,5,3.764705882352941,5.0625,3.9411764705882355,4.1875,1.0588235294117647,1.6875,1.0588235294117647,0.5625,1.2,1.6,1.211764705882353,0.825,0.42470588235294116,0.608125,3.2941176470588234,3.8125,4.235294117647059,2.75,19.764705882352942,16.125,16.823529411764707,16.5625
5,2,2.3,2,0.2,1,1,0.64,0.36,699,599,0.86,393,311,0.79,19,7,0.37,3,1,0.33,0,0.0,5,0.71,0,0,0,0,9,2,23,11,10,8,9,29,3,13,6.0588235294117645,3.5,3.2941176470588234,5.9375,2.1176470588235294,1.0,0.8235294117647058,2.25,1.8058823529411765,0.9875,0.9176470588235294,1.9625,0.5499999999999999,0.44937499999999997,5.823529411764706,4.0625,2.0,6.25,20.058823529411764,15.0625,14.647058823529411,22.375
2,3,0.4,0,0.4,2,2,0.6,0.4,560,439,0.78,381,275,0.72,14,3,0.21,6,3,0.5,1,0.33,3,1.0,0,1,0,0,6,2,33,9,3,10,7,29,6,11,7.0,2.875,3.4705882352941178,5.5625,1.411764705882353,1.125,1.0,1.625,1.3588235294117648,0.88125,0.7823529411764706,1.7125000000000001,0.556470588235294,0.5181250000000001,4.117647058823529,2.9375,2.823529411764706,4.6875,26.176470588235293,15.6875,13.117647058823529,22.1875
3,3,0.8,0,1.0,1,2,0.72,0.28,666,549,0.82,257,146,0.57,12,3,0.25,8,2,0.25,1,0.5,3,1.0,1,0,0,0,7,5,37,19,7,10,21,40,7,7,5.0625,3.6470588235294117,3.8125,5.294117647058823,1.375,0.8823529411764706,1.0625,1.4705882352941178,1.225,0.8529411764705882,0.93125,1.447058823529412,0.54,0.4029411764705882,4.5,2.411764705882353,2.5625,4.352941176470588,20.1875,15.705882352941176,14.25,22.88235294117647
2,2,1.3,0,1.4,0,X,0.56,0.44,449,342,0.76,352,249,0.71,14,5,0.36,11,2,0.18,2,1.0,5,1.0,0,0,0,0,6,4,31,16,0,8,16,38,8,11,5.625,2.5625,3.8125,5.625,1.1875,0.625,1.5625,1.625,1.4375,0.9375,1.1625,1.75625,0.46125,0.393125,4.125,2.25,3.9375,4.75,21.5625,12.25,14.6875,26.3125
3,4,1.5,3,2.0,2,1,0.38,0.62,335,233,0.7,536,435,0.81,10,5,0.5,21,6,0.29,4,0.66,2,0.4,0,0,0,0,5,13,17,31,6,8,30,22,10,4,5.1875,3.6470588235294117,3.625,5.882352941176471,1.0625,1.0588235294117647,1.1875,1.2941176470588236,1.375,1.211764705882353,1.03125,1.5058823529411764,0.515,0.49411764705882355,4.0,3.0,3.75,4.588235294117647,24.875,13.0,12.5625,20.41176470588235
2,4,0.8,1,1.7,2,2,0.53,0.47,525,402,0.77,464,365,0.79,12,4,0.33,14,3,0.21,1,0.33,3,0.75,0,0,0,0,3,4,28,16,8,10,19,28,11,6,4.529411764705882,5.0,5.9411764705882355,4.4375,1.5294117647058822,1.4375,1.2941176470588236,1.25,1.2705882352941178,1.4125,1.5294117647058822,1.025,0.46058823529411763,0.51375,4.235294117647059,3.75,4.470588235294118,4.1875,16.764705882352942,19.875,22.176470588235293,18.0625
2,3,1.1,1,1.0,0,1,0.38,0.62,367,269,0.73,591,475,0.8,15,6,0.4,12,6,0.5,6,1.0,5,0.83,0,0,0,0,5,7,14,28,11,4,28,9,7,8,5.0625,3.5,5.625,5.375,1.125,1.1875,1.3125,1.5,1.1625,1.15625,1.225,1.475,0.48062499999999997,0.509375,5.0625,3.0625,3.375,4.375,20.375,16.5,19.0625,22.0
4,3,0.6,2,0.5,1,1,0.6,0.4,508,387,0.76,337,202,0.6,7,1,0.14,7,2,0.29,1,0.5,0,0.0,0,0,0,0,3,3,16,8,11,14,10,12,7,6,4.0625,4.625,4.1875,5.0625,1.3125,0.9375,0.8125,1.4375,1.4,0.9,0.79375,1.5999999999999999,0.548125,0.485625,4.25,2.9375,3.4375,4.0625,13.0,17.625,13.9375,20.6875
