clas_local,clas_visitante,Amarillas_local,expulsion_doble_amarilla_local,expulsión_roja_directa_local,Amarillas_visitante,expulsion_doble_amarilla_visitante,expulsión_roja_directa_visitante,Faltas_local,Faltas_visitante,Derribos_local,Derribos_visitante,Árbitro_faltas_local,Árbitro_faltas_visitante,Árbitro_amarillas_local,Árbitro_amarillas_visitante,Árbitro_doble_amarilla_local,Árbitro_doble_amarilla_visitante,Árbitro_roja_directa_local,Árbitro_roja_directa_visitante,tarjetas_total_local,tarjetas_total_visitante,Árbitro_sum_tarjetas_local,Árbitro_sum_tarjetas_visitante,faltas_cometidas_local,faltas_cometidas_visitante,faltas_provocadas_local,faltas_provocadas_visitante,amarillas_cometidas_local,amarillas_cometidas_visitante,amarillas_provocadas_local,amarillas_provocadas_visitante,dobles_amarillas_cometidas_local,dobles_amarillas_cometidas_visitante,dobles_amarillas_provocadas_local,dobles_amarillas_provocadas_visitante,rojas_directas_cometida_local,rojas_directas_cometida_visitante,rojas_directas_provocadas_local,rojas_directas_provocadas_visitante,tarjetas_cometidas_local,tarjetas_cometidas_visitante,tarjetas_provocadas_local,tarjetas_provocadas_visitante
2,3,3,0,0,2,0,1,18,23,16,20,15.058823529411764,15.0,2.6470588235294117,3.588235294117647,0.058823529411764705,0.0,0.0,0.058823529411764705,3,3,2.7058823529411766,3.6470588235294117,13.176470588235293,12.0,15.882352941176471,13.764705882352942,2.764705882352941,2.411764705882353,3.7058823529411766,2.823529411764706,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.17647058823529413,2.941176470588235,2.6470588235294117,3.8823529411764706,3.0588235294117645
4,3,1,0,0,2,0,0,13,13,12,16,12.285714285714286,11.857142857142858,1.8571428571428572,2.5714285714285716,0.0,0.2857142857142857,0.0,0.0,1,2,1.8571428571428572,2.857142857142857,13.411764705882353,15.875,10.764705882352942,14.875,2.1176470588235294,2.6875,2.411764705882353,2.5625,0.058823529411764705,0.125,0.0,0.1875,0.058823529411764705,0.0625,0.0,0.0625,2.2352941176470584,2.875,2.411764705882353,2.8125
3,2,7,0,1,3,1,0,15,15,11,9,15.2,13.133333333333333,3.466666666666667,2.466666666666667,0.06666666666666667,0.2,0.2,0.06666666666666667,8,4,3.7333333333333334,2.7333333333333334,14.5,14.5,12.25,12.375,2.5,3.1875,2.625,2.625,0.0,0.25,0.25,0.125,0.1875,0.0625,0.0625,0.125,2.6875,3.5,2.9375,2.875
4,3,1,0,0,5,0,0,15,12,20,13,13.75,12.5625,3.0625,3.6875,0.125,0.125,0.1875,0.0,1,5,3.375,3.8125,12.875,11.9375,13.9375,12.375,2.5,3.6875,3.625,2.6875,0.125,0.1875,0.0625,0.0,0.0625,0.0625,0.0625,0.1875,2.6875,3.9375,3.75,2.875
4,3,0,0,0,3,0,0,9,8,19,22,12.8,11.6,2.2666666666666666,2.6,0.06666666666666667,0.2,0.3333333333333333,0.06666666666666667,0,3,2.6666666666666665,2.8666666666666667,10.9375,11.6875,14.9375,16.0,1.875,2.6875,3.0625,2.6875,0.0,0.0625,0.0,0.0625,0.5,0.0,0.125,0.0625,2.375,2.75,3.1875,2.8125
4,2,3,0,0,0,0,0,18,8,13,18,12.222222222222221,12.333333333333334,1.7222222222222223,2.0,0.05555555555555555,0.05555555555555555,0.2222222222222222,0.16666666666666666,3,0,2.0,2.2222222222222223,16.4375,12.058823529411764,13.25,13.470588235294118,2.5625,2.7058823529411766,2.25,3.1176470588235294,0.0,0.058823529411764705,0.125,0.11764705882352941,0.0625,0.17647058823529413,0.0625,0.11764705882352941,2.625,2.941176470588235,2.4375,3.3529411764705883
5,5,4,1,0,2,0,0,15,16,11,12,14.235294117647058,12.882352941176471,3.0588235294117645,2.4705882352941178,0.17647058823529413,0.058823529411764705,0.17647058823529413,0.058823529411764705,5,2,3.411764705882353,2.588235294117647,11.470588235294118,9.411764705882353,11.647058823529411,14.235294117647058,2.235294117647059,2.0588235294117645,2.411764705882353,2.411764705882353,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.0,0.17647058823529413,0.11764705882352941,2.4705882352941178,2.117647058823529,2.705882352941176,2.5882352941176467
4,2,1,0,0,3,0,0,17,8,14,13,14.25,12.75,2.1875,2.5,0.0,0.0625,0.1875,0.125,1,3,2.375,2.6875,13.411764705882353,11.25,10.764705882352942,11.125,2.1176470588235294,2.6875,2.411764705882353,2.25,0.058823529411764705,0.0,0.0,0.0625,0.058823529411764705,0.0625,0.0,0.125,2.2352941176470584,2.75,2.411764705882353,2.4375
2,4,2,0,1,3,0,0,13,8,20,16,12.166666666666666,11.944444444444445,2.0,2.8333333333333335,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.05555555555555555,3,3,2.2222222222222223,2.9444444444444446,12.823529411764707,11.176470588235293,12.647058823529411,12.941176470588236,2.588235294117647,2.176470588235294,2.4705882352941178,2.0588235294117645,0.0,0.0,0.17647058823529413,0.0,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.11764705882352941,2.7058823529411766,2.2352941176470584,2.705882352941176,2.176470588235294
2,2,2,0,0,5,0,0,23,13,17,14,14.75,13.25,2.625,3.25,0.125,0.1875,0.0625,0.1875,2,5,2.8125,3.625,16.352941176470587,12.294117647058824,13.294117647058824,15.117647058823529,3.2941176470588234,3.176470588235294,2.5294117647058822,1.5294117647058822,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.0,0.11764705882352941,0.11764705882352941,0.0,0.058823529411764705,3.5294117647058822,3.411764705882353,2.6470588235294117,1.588235294117647
3,5,3,0,0,2,0,0,9,12,13,15,9.736842105263158,10.473684210526315,2.3684210526315788,2.3684210526315788,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.05263157894736842,3,2,2.526315789473684,2.473684210526316,12.117647058823529,12.9375,13.352941176470589,12.4375,3.0588235294117645,2.9375,2.5294117647058822,2.625,0.058823529411764705,0.0625,0.058823529411764705,0.0,0.35294117647058826,0.125,0.17647058823529413,0.0,3.4705882352941173,3.125,2.7647058823529407,2.625
3,5,2,0,0,4,0,0,9,13,14,11,13.235294117647058,11.0,2.8823529411764706,2.6470588235294117,0.11764705882352941,0.11764705882352941,0.0,0.17647058823529413,2,4,3.0,2.9411764705882355,17.375,11.8125,13.875,12.9375,3.6875,2.8125,3.1875,2.25,0.0,0.0625,0.0,0.0,0.1875,0.125,0.125,0.1875,3.875,3.0,3.3125,2.4375
2,2,2,0,1,1,0,1,16,15,13,11,10.928571428571429,13.071428571428571,2.2857142857142856,1.8571428571428572,0.14285714285714285,0.0,0.21428571428571427,0.14285714285714285,3,2,2.642857142857143,2.0,12.5,13.3125,14.75,12.625,2.6875,2.1875,2.875,3.0625,0.1875,0.0625,0.1875,0.0,0.1875,0.125,0.0625,0.375,3.0625,2.375,3.125,3.4375
3,4,4,0,0,3,0,1,26,3,20,17,14.055555555555555,13.333333333333334,3.0555555555555554,3.0,0.0,0.05555555555555555,0.05555555555555555,0.1111111111111111,4,4,3.111111111111111,3.1666666666666665,12.75,10.941176470588236,13.25,15.823529411764707,2.0625,2.4705882352941178,2.75,2.411764705882353,0.0625,0.17647058823529413,0.0625,0.058823529411764705,0.0625,0.11764705882352941,0.1875,0.17647058823529413,2.1875,2.764705882352941,3.0,2.6470588235294112
3,4,3,0,0,1,0,0,9,19,15,24,12.176470588235293,12.705882352941176,2.0,1.3529411764705883,0.058823529411764705,0.0,0.058823529411764705,0.11764705882352941,3,1,2.1176470588235294,1.4705882352941178,11.117647058823529,16.470588235294116,12.411764705882353,12.294117647058824,2.2941176470588234,2.235294117647059,2.3529411764705883,3.0,0.0,0.0,0.0,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.17647058823529413,0.17647058823529413,2.411764705882353,2.2941176470588234,2.5294117647058822,3.2941176470588234
5,3,1,0,0,2,0,1,9,13,6,14,13.529411764705882,14.705882352941176,2.823529411764706,3.411764705882353,0.058823529411764705,0.23529411764705882,0.23529411764705882,0.23529411764705882,1,3,3.1176470588235294,3.8823529411764706,10.375,15.235294117647058,13.75,11.058823529411764,1.6875,2.7058823529411766,2.5625,1.6470588235294117,0.0625,0.058823529411764705,0.0,0.058823529411764705,0.0,0.17647058823529413,0.1875,0.17647058823529413,1.75,2.941176470588235,2.75,1.8823529411764706
3,1,1,0,0,8,0,0,5,19,21,19,12.411764705882353,14.764705882352942,1.8823529411764706,3.588235294117647,0.0,0.058823529411764705,0.17647058823529413,0.17647058823529413,1,8,2.0588235294117645,3.823529411764706,13.823529411764707,13.411764705882353,13.588235294117647,10.764705882352942,2.235294117647059,3.0588235294117645,2.411764705882353,1.9411764705882353,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.29411764705882354,0.11764705882352941,0.0,2.2941176470588234,3.4117647058823524,2.5882352941176467,2.0
3,2,3,0,2,7,1,0,11,19,14,19,12.8,11.6,2.2666666666666666,2.6,0.06666666666666667,0.2,0.3333333333333333,0.06666666666666667,5,8,2.6666666666666665,2.8666666666666667,14.5,13.3125,12.25,12.625,2.5,2.1875,2.625,3.0625,0.0,0.0625,0.25,0.0,0.1875,0.125,0.0625,0.375,2.6875,2.375,2.9375,3.4375
2,3,4,1,0,2,0,0,22,12,31,18,15.058823529411764,15.0,2.6470588235294117,3.588235294117647,0.058823529411764705,0.0,0.0,0.058823529411764705,5,2,2.7058823529411766,3.6470588235294117,12.588235294117647,15.875,10.588235294117647,14.875,2.8823529411764706,2.6875,2.8823529411764706,2.5625,0.11764705882352941,0.125,0.058823529411764705,0.1875,0.0,0.0625,0.058823529411764705,0.0625,3.0,2.875,2.9999999999999996,2.8125
5,3,3,0,0,1,0,0,12,13,18,19,13.0,14.4375,2.625,2.4375,0.0,0.0,0.0625,0.0625,3,1,2.6875,2.5,11.470588235294118,11.6875,11.647058823529411,16.0,2.235294117647059,2.6875,2.411764705882353,2.6875,0.11764705882352941,0.0625,0.11764705882352941,0.0625,0.11764705882352941,0.0,0.17647058823529413,0.0625,2.4705882352941178,2.75,2.705882352941176,2.8125
3,4,4,0,0,0,0,1,19,14,18,9,13.235294117647058,11.0,2.8823529411764706,2.6470588235294117,0.11764705882352941,0.11764705882352941,0.0,0.17647058823529413,4,1,3.0,2.9411764705882355,12.117647058823529,13.75,13.352941176470589,12.75,3.0588235294117645,2.0,2.5294117647058822,2.8125,0.058823529411764705,0.0,0.058823529411764705,0.0625,0.35294117647058826,0.1875,0.17647058823529413,0.125,3.4705882352941173,2.1875,2.7647058823529407,3.0
2,5,0,0,0,0,0,0,10,5,11,13,12.285714285714286,11.857142857142858,1.8571428571428572,2.5714285714285716,0.0,0.2857142857142857,0.0,0.0,0,0,1.8571428571428572,2.857142857142857,16.352941176470587,9.411764705882353,13.294117647058824,14.235294117647058,3.2941176470588234,2.0588235294117645,2.5294117647058822,2.411764705882353,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.0,0.0,0.11764705882352941,3.5294117647058822,2.117647058823529,2.6470588235294117,2.5882352941176467
2,4,1,0,0,1,0,1,12,16,16,24,12.222222222222221,12.333333333333334,1.7222222222222223,2.0,0.05555555555555555,0.05555555555555555,0.2222222222222222,0.16666666666666666,1,2,2.0,2.2222222222222223,11.625,10.941176470588236,13.6875,15.823529411764707,1.75,2.4705882352941178,2.0,2.411764705882353,0.0,0.17647058823529413,0.0,0.058823529411764705,0.0625,0.11764705882352941,0.0625,0.17647058823529413,1.8125,2.764705882352941,2.0625,2.6470588235294112
2,2,4,0,0,4,0,0,13,12,10,20,13.75,12.5625,3.0625,3.6875,0.125,0.125,0.1875,0.0,4,4,3.375,3.8125,12.823529411764707,12.058823529411764,12.647058823529411,13.470588235294118,2.588235294117647,2.7058823529411766,2.4705882352941178,3.1176470588235294,0.0,0.058823529411764705,0.17647058823529413,0.11764705882352941,0.11764705882352941,0.17647058823529413,0.058823529411764705,0.11764705882352941,2.7058823529411766,2.941176470588235,2.705882352941176,3.3529411764705883
4,4,5,0,0,3,0,0,21,18,24,20,14.055555555555555,13.333333333333334,3.0555555555555554,3.0,0.0,0.05555555555555555,0.05555555555555555,0.1111111111111111,5,3,3.111111111111111,3.1666666666666665,16.4375,11.176470588235293,13.25,12.941176470588236,2.5625,2.176470588235294,2.25,2.0588235294117645,0.0,0.0,0.125,0.0,0.0625,0.058823529411764705,0.0625,0.11764705882352941,2.625,2.2352941176470584,2.4375,2.176470588235294
5,3,2,0,0,4,0,0,16,9,17,12,14.235294117647058,12.882352941176471,3.0588235294117645,2.4705882352941178,0.17647058823529413,0.058823529411764705,0.17647058823529413,0.058823529411764705,2,4,3.411764705882353,2.588235294117647,12.058823529411764,12.0,11.823529411764707,13.764705882352942,1.7647058823529411,2.411764705882353,2.8823529411764706,2.823529411764706,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.17647058823529413,1.9411764705882353,2.6470588235294117,3.1176470588235294,3.0588235294117645
1,3,4,0,1,5,0,1,12,17,15,13,10.928571428571429,13.071428571428571,2.2857142857142856,1.8571428571428572,0.14285714285714285,0.0,0.21428571428571427,0.14285714285714285,5,6,2.642857142857143,2.0,14.375,15.529411764705882,11.6875,12.0,2.375,2.9411764705882355,2.375,2.1176470588235294,0.125,0.0,0.1875,0.058823529411764705,0.25,0.058823529411764705,0.1875,0.058823529411764705,2.75,3.0,2.75,2.2352941176470584
3,2,2,0,0,3,0,0,13,17,8,12,12.176470588235293,12.705882352941176,2.0,1.3529411764705883,0.058823529411764705,0.0,0.058823529411764705,0.11764705882352941,2,3,2.1176470588235294,1.4705882352941178,13.823529411764707,14.5,13.588235294117647,12.375,2.235294117647059,3.1875,2.411764705882353,2.625,0.0,0.25,0.058823529411764705,0.125,0.058823529411764705,0.0625,0.11764705882352941,0.125,2.2941176470588234,3.5,2.5882352941176467,2.875
3,2,5,0,0,4,0,0,16,9,11,17,9.736842105263158,10.473684210526315,2.3684210526315788,2.3684210526315788,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.05263157894736842,5,4,2.526315789473684,2.473684210526316,11.117647058823529,15.625,12.411764705882353,13.5625,2.2941176470588234,3.125,2.3529411764705883,2.4375,0.0,0.25,0.0,0.125,0.11764705882352941,0.0625,0.17647058823529413,0.25,2.411764705882353,3.4375,2.5294117647058822,2.8125
